,Название,Гибридность,Спелость,"Срок созревания, дн",Детерминантность,Высота,Масса плода
230,Томат Перцевидный гигант,False,Среднеспелый,111-115,Индетерминантный,,От 150 до 250 г
231,Томат Блэк черри,False,Раннеспелый,100-110,Индетерминантный,около 200 см,
232,Томат Чемпион веса,False,Среднеспелый,115,Индетерминантный,,Более 250 г
233,Томат Розовый гигант,False,Среднеспелый,110-115,Индетерминантный,до 150 см,Более 250 г
234,Томат Вишенка черная,False,Раннеспелый,,Индетерминантный,170-200 см,
235,Томат Перцевидный оранжевый,False,Среднеспелый,110-115,Индетерминантный,,От 100 до 150 г
236,Томат Негритенок,False,Среднеспелый,110-115,Индетерминантный,170-190 см,От 100 до 150 г
237,Томат Розовые щечки,False,Раннеспелый,108-112,Детерминантный,60-80 cv,Более 250 г
238,Томат Розовые купола,True,Среднеспелый,,Индетерминантный,,Более 250 г
239,Томат Ирма,False,Среднеспелый,110-115,Детерминантный,до 50 см,От 150 до 250 г
240,Томат Де Барао черный,False,Позднеспелый,120,Индетерминантный,более 200 см,От 100 до 150 г
241,Томат Де Барао оранжевый,False,Позднеспелый,115-120,Индетерминантный,180-220 см,От 50 до 100 г
242,Томат Бычье сердце оранжевое,False,Среднеспелый,105-110,Индетерминантный,160-180 см,Более 250 г
243,Томат Де Барао розовый,False,Позднеспелый,117,Индетерминантный,около 200 см,От 50 до 100 г
244,Томат Суперстейк,True,Среднеспелый,115,Индетерминантный,150-200 см,Более 250 г
245,Томат Сибирское чудо,False,Среднеспелый,111-115,Индетерминантный,до 150 см,От 150 до 250 г
246,Томат Вельможа,False,Среднеспелый,103-117,Детерминантный,50-60 см,От 150 до 250 г
247,Томат Медовый,False,Среднеспелый,110-115,Полудетерминантный,100-120 см,Более 250 г
248,Томат Малиновый великан,False,Раннеспелый,100-105,Индетерминантный,,Более 250 г
249,Томат Сердце бизона,False,Среднеспелый,110-115,Детерминантный,до 150 см,От 150 до 250 г
250,Томат Жозефина,True,Раннеспелый,,Индетерминантный,180-200 см,Более 250 г
251,Томат Сто пудов,False,Среднеспелый,110-115,Индетерминантный,170-200 см,От 150 до 250 г
252,Томат Большая медведица,False,Раннеспелый,,Индетерминантный,,Более 250 г
253,Томат Черная маркиза,False,Среднеспелый,110-115,Детерминантный,,От 100 до 150 г
254,Томат Джина ТСТ,False,Среднеспелый,110-115,Детерминантный,50-60 см,От 150 до 250 г
255,Томат Чудо на окошке,False,Раннеспелый,90,Супердетерминантный,20-35 см,
256,Томат Красные бусы,False,Раннеспелый,100-105,Индетерминантный,150-170 см,
257,Томат Медовая капель,False,Среднеспелый,110-115,Индетерминантный,более 200 см,От 25 до 50 г
258,Томат Черрипашки,False,Раннеспелый,108-115,Индетерминантный,,
259,Томат Люкс-14,True,Раннеспелый,,Детерминантный,65-70 см,От 50 до 100 г
260,Томат Супер Марио,False,Среднеспелый,100-112,Индетерминантный,,От 150 до 250 г
261,Томат Званный ужин,False,Среднеспелый,110-115,Индетерминантный,180-210 см,От 100 до 150 г
262,Томат Золотой принц,False,Раннеспелый,105-110,Индетерминантный,,От 150 до 250 г
263,Томат Праздник живота,False,Раннеспелый,105-110,Детерминантный,55-65 см,От 100 до 150 г
264,Томат Счастливый тигр,False,Среднеспелый,112-115,Индетерминантный,170-200 см,От 25 до 50 г
265,Томат Лотарингская красавица красная,False,Среднеспелый,110-120,Индетерминантный,180-200 см,От 150 до 250 г
266,Томат Суперэкзотик,False,Среднеспелый,105-115,Индетерминантный,До 180 см,От 50 до 100 г
267,Томат Грушка полосатая,False,Раннеспелый,105-115,Детерминантный,До 80 см,От 50 до 100 г
268,Томат Тунгуска,False,Раннеспелый,105-115,Детерминантный,15-55 см,От 100 до 150 г
269,Томат Якут,False,Ультраскороспелый,80-85,Детерминантный,45-55 см,От 100 до 150 г
270,Томат Будапешт,False,Раннеспелый,105-110,Индетерминантный,,От 150 до 250 г
271,Томат Танец огня,True,Ультраскороспелый,85-90,Детерминантный,50-100 см,От 100 до 150 г
272,Томат Малиновый звон,True,Раннеспелый,100-110,Детерминантный,60-80 см,От 100 до 150 г
273,Томат Черри,False,Раннеспелый,95-102,Индетерминантный,более 150 см,
274,Томат Мясистый,True,Раннеспелый,105-110,Детерминантный,55-60 см,От 150 до 250 г
275,Томат Японский краб,False,Среднеспелый,110-115,Индетерминантный,до 200 см,Более 250 г
276,Томат Гулливер,False,Среднеспелый,105-115,Детерминантный,,От 100 до 150 г
277,Томат Вишенка розовая,False,Раннеспелый,105-110,Индетерминантный,около 200 см,
278,Томат Кнопка,False,Раннеспелый,100-105,Детерминантный,,От 25 до 50 г
